text,positive,negative
Travailler sur un plan de projet,1,0
"Nous travaillons, les gens",1,0
Amusez-vous bien,1,0
"Oui, il était assez amusant",1,0
il est l'heure de déjeuner,1,0
"Hey, non, nous étions le deuxième, gentil triste, mais c'est ok guitare, guitare, guitare barbecue et bon temps, que dire de toi & gt ;?",1,0
Qui a besoin de cinémalave quand nous avons un film mondo et le salon hollywood?,1,0
"Wow ... debbie downer. Désolé, vous avez eu une si mauvaise journée",1,0
"Bon travail, rapprochez-vous. Ses yeux sont réglés ailleurs",1,0
À la maison à nouveau. Cela s'est bien passé,1,0
Vous ne m'avez toujours pas donné une raison,1,0
Yay yay yay hahah maintenant nous pouvons faire une page de nouvelles skessy,1,0
Son loquet est tellement meilleur quand il n'a pas faim. J'adore son nouvel amour,1,0
"Les études cliniques montrent que le sourire / le rire imprègne considérablement la fonction immunitaire et vous rend plus sain. Allez-y ... faites-le, voyez vous sentir mieux",1,0
Faire beaucoup mieux quand j'ai vraiment des gens cool comme si tu demandais comment je fais. J'espère que tu as été bon mon ami ...,1,0
Super! Ce sera une belle fête pour vous,1,0
Journée fantastique au soleil d'azur,1,0
Peut-être que je serai en mesure de voir le lever du soleil?,1,0
Congrats baaaaaaaack! Mgr Chavez ftw.,1,0
Yay!! Peut-être que c'est ce dont j'ai besoin aussi ... une bonne nuit de détente sans stress,1,0
"Je ne peux pas attendre le début de la pause estivale !!!! 4 semaines de plus d'école, theeen !!!",1,0
Va venir en Espagne le mois prochain!,1,0
Est illégal mais regarde le manivelle 2,1,0
"Je viens d'avoir des ennemis, nous avons faim",1,0
"Mais c'est simple, haz! C'est la beauté de ça. C'est vraiment facile à utiliser. Ils me font des bêtises pour frass 'comme moi.",1,0
N'ont pas porté ce hoodie depuis sxsw. A oublié combien il est incroyablement confortable.,1,0
Hey wanda génial de tweet avec toi et beaucoup de thx pour l'info re dobro et quel son fantastique. La maison du fils est une fête des miennes,1,0
", Oh, vous êtes les bienvenus! Je n'ai aucune idée, avant ... de toute façon, penser à matthew qui cuisine ... oh! Il est si adorable!",1,0
"Paix, frère, merci non seulement pour la musique, mais représentant fièrement en tant que père partout - heureuse fête des mères",1,0
Une combinaison de mise à jour du blog et de tweet semble bien.,1,0
"Oh merde, j'oublie que tu pouvais voir le message, au moins, on dit bien les choses.",1,0
Étudier avec mon gardien,1,0
"Glitter, elle chante dessus!",1,0
Étudier et regarder kuwtk merci kim! & Lt; 3 j'adore yall!,1,0
"Merci pour l'invitation, mais il serait difficile pour moi d'exécuter un véritable spectacle avec mes compétences en espagnol pauvres",1,0
Le temps de faire des biscuits de chien faits maison - doit garder les boules de boules heureuses,1,0
A senti l'un des séismes les plus longs (mais les plus doux) que j'ai jamais ressenti. Je pensais que notre chien était sec dans le canapé d'abord.,1,0
"Eh bien ... désolé! Dansons, c'est un passe-temps fabuleux",1,0
Foswiki va maintenant suivre activement & quot; foswiki & quot; -tweeters.,1,0
Vous voulez dire que vous voulez une pause aussi.,1,0
"A écouté de bonnes filles vont mal pour 128564 fois aujourd'hui sauf le pont pais un peu ennuyeux, je saute juste cet pa",1,0
"Matiné, eleesha! J'espère que vous en avez une excellente!",1,0
bien sûr pas de problème ! Avez-vous déjà vu dans 12 jours environ 6067.,1,0
Vient de rentrer de la résidence dunlap,1,0
J'ai fait une carte de vacances animée. - Shh. Je ne dis pas encore à maman. c'est une surprise.,1,0
Avez-vous trouvé squitoo ???,1,0
"Oui, nous faisons vraiment",1,0
A soumis mon premier patch en utilisant vala,1,0
Une certaine innovation pour vous. Probablement sans importance pour vous,1,0
Naaaaaaaaaaa ils étaient simplement co-hôte twas drôle,1,0
Êtes-vous sur une tournée européenne? Pourriez-vous visiter l'Espagne? Profitez des visites,1,0
Retour au collège demain rawr ~,1,0
"Bien, elle l'aime, je l'appelle un succès",1,0
"Ta pourrait le faire, mais pourrait l'enregistrer ... alors je ne peux pas le plier!",1,0
Félicitations à mon bff bomi omi! Au théâtre hawaïen pour la graduation d'Oah Oahu et ensuite à shookudo!,1,0
J'adorerais michaela tabb de polir mes balles,1,0
"Salut, regarde le dernier tweet",1,0
"Salut doux, je te souhaite ... joyeux jour des mères! Passez un jour merveilleux et béni! tu mérites...",1,0
"A rejoint le groupe, sera là sur sat",1,0
"Finalement rattrapé et a remporté un xbox 360 quatre ans plus tard, maintenant la halo, la fable et le héros de la guitare me reprennent la vie. c'est très gentil",1,0
Coz quand je suis allé jeudi à sa maison ac voulu jouer la vérité ou oser! cool ! Camion de glace passé,1,0
"Et très drôle, c'était aussi!",1,0
"Ah ah, bien! La fierté et les préjugés tandis que votre up me font du bacon ... et puis apportez-moi ha",1,0
"De retour de la salle de gym, finalement 5k courant sans douleur dans mon genou depuis 3 semaines",1,0
Retour du barbier turc - coupe de cheveux et un rasage - sentiment 10 ans plus jeune maintenant,1,0
"Jusqu'à présent, ce sont nous les humains et quelques espèces d'apprentissage vocal, comme les cacatoès. Voir boule de neige dans youtube ...",1,0
- J'ai hâte de les voir!,1,0
